"sex","aage","AJBHRS","ancars","avote","aregion","ajbstat","ajbterm","ahhsize","atenure","afihhyr"
1,45,37,"2","3","3","2","1","3","2",58595.1484375
2,41,16,"2","3","9","2","1","3","2",11425.0400390625
1,54,39,"1","2","3","2","1","2","3",10291.7724609375
2,52,35,"2","3","3","2","1","2","1",42116.875
1,76,15,"1","1","10","2","2","1","1",9965.61328125
1,27,39,"1","1","11","2","1","2","2",13067.00390625
1,17,8,"3","3","3","6","1","4","2",105621.8515625
1,23,36,"1","3","4","2","1","2","2",13900.896484375
2,19,38,"2","10","3","2","1","5","4",24984.36328125
2,37,25,"2","1","3","2","1","4","2",47331.47265625
1,27,35,"1","2","1","2","1","1","2",15036.416015625
2,48,40,"2","1","7","2","1","2","2",29421.201171875
2,36,20,"1","2","1","2","1","6","2",23123.01953125
2,55,21,"1","2","2","2","1","2","1",8719.62890625
2,60,35,"1","1","7","2","1","2","2",13309.8134765625
2,40,32,"2","1","18","2","2","6","6",17794.064453125
1,17,38,"2","1","6","2","1","4","2",31202.724609375
1,28,38,"3","1","9","2","1","3","2",29555.181640625
2,29,30,"1","2","6","2","1","3","4",8826.12890625
2,29,35,"1","8","1","2","1","2","7",81738.328125
2,42,40,"1","1","4","2","1","2","5",7236.0278320313
1,25,39,"0","1","12","2","1","3","3",26069.6328125
2,19,40,"3","10","8","2","1","5","6",32827.59375
1,52,54,"0","1","1","2","1","2","2",18277.19921875
1,37,39,"1","2","17","2","1","5","2",15965.5791015625
1,28,35,"1","1","1","2","1","2","2",42564.453125
1,22,39,"2","6","4","2","1","5","1",34396.7734375
1,23,35,"0","2","1","2","1","2","7",21378.7578125
1,19,35,"2","3","17","2","1","3","2",46247.85546875
1,51,55,"1","2","6","2","1","2","2",15373.30078125
2,51,15,"1","1","14","2","1","2","1",26309.185546875
1,59,34,"2","1","4","2","1","2","1",11088.63671875
1,52,40,"0","10","3","2","1","2","7",17238.236328125
2,33,30,"1","3","18","2","1","4","2",16204.9931640625
1,43,40,"0","2","9","2","1","1","7",12321.98046875
1,28,35,"0","2","13","2","1","5","2",4637.7080078125
2,25,40,"2","3","11","2","1","3","2",28624.94921875
2,33,5,"1","1","16","5","3","5","2",22197.34765625
2,44,21,"2","2","2","2","1","3","2",23786.54296875
1,48,37,"1","2","10","2","1","2","2",16633.599609375
1,50,39,"0","2","3","2","1","2","1",22816.55859375
1,36,30,"1","1","1","2","1","3","2",28491.2578125
2,39,40,"0","10","3","2","1","3","2",21093.552734375
1,24,40,"2","1","8","2","1","2","2",23722.521484375
1,37,35,"1","3","8","2","3","5","2",7421.5068359375
2,34,37,"1","2","9","2","1","1","2",16206.00390625
1,38,39,"1","10","12","2","1","4","2",14219.9375
2,35,18,"1","1","6","2","1","4","2",18819.6171875
2,36,23,"1","10","3","2","1","2","2",6033.9833984375
1,46,39,"3","3","15","2","1","4","1",19337.9375
2,26,37,"1","10","18","2","1","3","2",14845.8564453125
2,17,40,"1","11","6","2","2","4","2",25128.46484375
2,33,40,"1","1","3","2","1","2","2",18714.9765625
1,21,36,"2","1","7","2","1","4","1",30518.4296875
1,23,39,"3","2","17","2","1","4","1",34227.32421875
2,44,28,"1","2","4","2","1","3","2",14840.11328125
2,45,38,"0","1","8","2","1","1","3",6741.2099609375
1,62,38,"1","2","18","2","1","2","4",18430
1,23,40,"1","2","10","2","1","1","5",9826.3857421875
1,19,40,"0","2","13","2","2","1","1",6272.64453125
2,45,30,"2","1","3","2","1","4","2",42534.96875
2,28,40,"1","2","18","2","1","4","7",13952.119140625
2,46,25,"0","1","6","2","1","5","1",24997.380859375
